rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
76,frame_0125.jpg,50.0,0.5539,0.5798,0.4,0.72,7,4,False,False
77,frame_0089.jpg,35.6,0.5537,0.7075,0.4,0.4,8,4,False,False
78,frame_0120.jpg,48.0,0.5512,0.7143,0.3,0.52,7,3,False,False
79,frame_0130.jpg,52.0,0.5501,0.6121,0.2,0.92,5,2,False,False
80,frame_0081.jpg,32.4,0.5494,0.5108,0.5,0.72,10,5,False,False
81,frame_0398.jpg,159.2,0.5491,0.6421,0.6,0.24,11,6,False,False
82,frame_0123.jpg,49.2,0.5486,0.6612,0.3,0.64,7,3,False,False
83,frame_0288.jpg,115.2,0.5472,0.6263,0.3,0.72,9,3,False,False
84,frame_0290.jpg,116.0,0.5454,0.5908,0.3,0.8,9,3,False,False
85,frame_0024.jpg,9.6,0.5371,0.4942,0.3,1.0,5,3,False,False
86,frame_0080.jpg,32.0,0.5365,0.529,0.4,0.76,8,4,False,False
87,frame_0194.jpg,77.6,0.5337,0.6554,0.5,0.28,8,5,False,False
88,frame_0121.jpg,48.4,0.5333,0.6626,0.3,0.56,7,3,False,False
89,frame_0168.jpg,67.2,0.5329,0.5418,0.5,0.56,7,5,False,False
90,frame_0389.jpg,155.6,0.5312,0.5944,0.7,0.12,12,7,False,False
91,frame_0395.jpg,158.0,0.5293,0.7706,0.4,0.12,10,4,False,False
92,frame_0173.jpg,69.2,0.5292,0.6743,0.4,0.36,8,4,False,False
93,frame_0394.jpg,157.6,0.528,0.7239,0.5,0.08,10,5,False,False
94,frame_0317.jpg,126.8,0.5276,0.8552,0.2,0.2,9,2,False,False
95,frame_0301.jpg,120.4,0.5269,0.6378,0.4,0.44,10,4,False,False
96,frame_0315.jpg,126.0,0.525,0.8219,0.3,0.12,9,3,False,False
97,frame_0304.jpg,121.6,0.5247,0.6814,0.4,0.32,8,4,False,False
98,frame_0230.jpg,92.0,0.5242,0.7605,0.4,0.12,13,4,False,False
99,frame_0297.jpg,118.8,0.5242,0.6284,0.3,0.6,6,3,False,False
100,frame_0231.jpg,92.4,0.524,0.864,0.2,0.16,9,2,False,False
101,frame_0092.jpg,36.8,0.518,0.6239,0.5,0.28,10,5,False,False
102,frame_0316.jpg,126.4,0.5167,0.8493,0.2,0.16,9,2,False,False
103,frame_0186.jpg,74.4,0.5163,0.7167,0.5,0.04,11,5,False,False
104,frame_0374.jpg,149.6,0.5157,0.6514,0.5,0.2,12,5,False,False
105,frame_0218.jpg,87.2,0.5128,0.7016,0.3,0.36,7,3,False,False
106,frame_0376.jpg,150.4,0.5111,0.7781,0.3,0.16,9,3,False,False
107,frame_0320.jpg,128.0,0.5102,0.6845,0.4,0.24,9,4,False,False
108,frame_0124.jpg,49.6,0.51,0.6879,0.1,0.68,9,1,False,False
109,frame_0113.jpg,45.2,0.5081,0.5602,0.6,0.24,8,6,False,False
110,frame_0291.jpg,116.4,0.5081,0.6203,0.1,0.84,7,1,False,False
111,frame_0095.jpg,38.0,0.508,0.7119,0.4,0.16,9,4,False,False
